area_name,origin_station,time_threshold_min,station_id,station_name,line_name,travel_time_min,lon,lat,x,y
pangyo_1st_technovalley,판교역,60,415,안양,서울1호선,45.833333,126.9228276011748,37.40152759291793,193167.04457884995,533577.8491723654
pangyo_1st_technovalley,판교역,60,430,당산,서울2호선,45.883333,126.90261694589547,37.53479411348953,191392.85633858785,548370.2868047587
pangyo_1st_technovalley,판교역,60,564,노원,서울4호선,45.916667,127.0632937284953,37.65632573519351,205585.08768899064,561856.3684895608
pangyo_1st_technovalley,판교역,60,195,대방,신림선,45.966667,126.92538142883672,37.51291155746233,193402.95549975958,545939.7564422826
pangyo_1st_technovalley,판교역,60,202,서원,신림선,45.983333,126.93305769351016,37.47822376686685,194078.87787524378,542089.3530346972
pangyo_1st_technovalley,판교역,60,548,숙대입구,서울4호선,46.05,126.97200212574523,37.545112610214495,197525.76570690522,549511.4259705162
pangyo_1st_technovalley,판교역,60,588,마포,서울5호선,46.05,126.94591379139104,37.53960844051463,195219.9301624518,548901.5364000213
pangyo_1st_technovalley,판교역,60,460,상왕십리,서울2호선,46.083333,127.02933321473816,37.564390820548745,202591.57361948778,551651.1133464475
pangyo_1st_technovalley,판교역,60,471,용답,서울2호선,46.083333,127.05086030254466,37.56227214988865,204493.60751192312,551416.7772595936
pangyo_1st_technovalley,판교역,60,462,동대문역사문화공원,서울2호선,46.266667,127.00912068274076,37.56561222857621,200805.79421102116,551786.3099624042
pangyo_1st_technovalley,판교역,60,423,시청,서울2호선,46.266667,126.97576278093857,37.56376249397046,197858.63685886716,551581.2481631152
pangyo_1st_technovalley,판교역,60,409,성균관대,서울1호선,46.333333,126.97111617206218,37.30031469646502,197439.1488424653,522342.40980408754
pangyo_1st_technovalley,판교역,60,172,삼가,용인경전철,46.383333,127.16813899810472,37.24212225387447,214918.75051696735,515896.90994960954
pangyo_1st_technovalley,판교역,60,351,시청,서울1호선,46.4,126.9772040633425,37.56557568030012,197986.02326214145,551782.458691475
pangyo_1st_technovalley,판교역,60,562,쌍문,서울4호선,46.416667,127.03462769808984,37.64838115853124,203055.90036212036,560973.2800791163
pangyo_1st_technovalley,판교역,60,194,샛강,신림선,46.55,126.9292349799816,37.517179038160606,193744.00509673398,546413.1295737075
pangyo_1st_technovalley,판교역,60,600,왕십리,서울5호선,46.75,127.03734963486583,37.562049452577206,203299.92328668796,551391.5003130677
pangyo_1st_technovalley,판교역,60,596,동대문역사문화공원,서울5호선,46.766667,127.00562253405715,37.564679338348114,200496.74591457384,551682.7458531518
pangyo_1st_technovalley,판교역,60,598,신금호,서울5호선,46.766667,127.02045619314652,37.55448097674334,201807.5329391817,550551.0302839195
pangyo_1st_technovalley,판교역,60,654,보문,서울6호선,46.766667,127.01968773941684,37.58544175366165,201738.9115302423,553987.3015356598
pangyo_1st_technovalley,판교역,60,217,제기동,동북선,46.816667,127.03836834642269,37.57840510699093,203389.18752048028,553206.8239333861
pangyo_1st_technovalley,판교역,60,530,수리산,서울4호선,46.833333,126.92542337203524,37.35015662168507,193392.37306852767,527876.2712110451
pangyo_1st_technovalley,판교역,60,366,녹천,서울1호선,46.866667,127.0514199869842,37.64451934153432,204538.0578041485,560545.3374558093
pangyo_1st_technovalley,판교역,60,181,신설동,우이신설경전철,46.983333,127.02319449821807,37.57641801040539,202048.89184162935,552985.8399266198
pangyo_1st_technovalley,판교역,60,199,보라매병원,신림선,47.016667,126.92346980974536,37.492975380760655,193232.14951450322,543727.2333919774
pangyo_1st_technovalley,판교역,60,593,광화문,서울5호선,47.1,126.9762752206268,37.5716380935469,197904.13168448737,552455.336135669
pangyo_1st_technovalley,판교역,60,595,을지로4가,서울5호선,47.1,126.99808964235947,37.56722384870457,199831.22733173886,551965.1435355458
pangyo_1st_technovalley,판교역,60,230,마천,위례선,47.233333,127.15165039494376,37.49409143960419,213410.81418129447,543859.1529812095
pangyo_1st_technovalley,판교역,60,707,중화,서울7호선,47.25,127.07936125009704,37.602285109902006,207007.97082241936,555859.5047463276
pangyo_1st_technovalley,판교역,60,644,삼각지,서울6호선,47.266667,126.97423441661677,37.53551447052934,197722.74631599398,548446.0931692078
pangyo_1st_technovalley,판교역,60,835,대곡,GTX_A,47.3,126.81187989448308,37.63138981331919,183394.57928873025,559103.4968477064
pangyo_1st_technovalley,판교역,60,848,여의도,GTX_B,47.316667,126.92390683863457,37.521768638927696,193273.38170261605,546922.8851978309
pangyo_1st_technovalley,판교역,60,893,왕숙,GTX_B,47.316667,127.16018057661384,37.6539276919246,214134.91686087474,561600.3953383078
pangyo_1st_technovalley,판교역,60,625,마천,서울5호선,47.4,127.15282678886048,37.49499704089626,213514.68244289994,543959.8312361644
pangyo_1st_technovalley,판교역,60,555,혜화,서울4호선,47.433333,127.00191835595663,37.58212081591027,200169.44553121686,553618.534756677
pangyo_1st_technovalley,판교역,60,780,수원,분당선,47.466667,127.00059566971224,37.266442680041386,200052.83597678118,518582.802136056
pangyo_1st_technovalley,판교역,60,343,신도림,서울1호선,47.466667,126.89142171185811,37.508943699597765,190400.0603988965,545502.2974862249
pangyo_1st_technovalley,판교역,60,583,영등포구청,서울5호선,47.55,126.89540693655124,37.52419188727966,190754.29519630404,547194.2550391449
pangyo_1st_technovalley,판교역,60,619,둔촌동,서울5호선,47.566667,127.13621508958978,37.52766277122959,212040.43792019275,547583.0580758416
pangyo_1st_technovalley,판교역,60,461,신당,서울2호선,47.583333,127.01968796261627,37.56568075110923,201739.3908203998,551794.0582552516
pangyo_1st_technovalley,판교역,60,196,서울지방병무청,신림선,47.666667,126.92279671048,37.50619800611216,193173.82860203146,545194.8222493436
pangyo_1st_technovalley,판교역,60,734,암사,서울8호선,47.7,127.12752631532123,37.55013385216643,211269.02991861477,550075.998066817
pangyo_1st_technovalley,판교역,60,589,공덕,서울5호선,47.716667,126.9515833956623,37.54470897326544,195721.2940501389,549467.3604193482
pangyo_1st_technovalley,판교역,60,601,마장,서울5호선,47.75,127.04302768358836,37.5661764289573,203801.38183163718,551849.7607255935
pangyo_1st_technovalley,판교역,60,215,왕십리,동북선,47.75,127.03559724699524,37.561271359815,203145.1286248928,551305.0811104735
pangyo_1st_technovalley,판교역,60,682,대림,서울7호선,47.75,126.89668094558226,37.492835091319854,190863.09255324845,543713.9262089143
pangyo_1st_technovalley,판교역,60,491,무악재,서울3호선,47.766667,126.9502168715662,37.582615528018,195602.75919098512,553674.6055485802
pangyo_1st_technovalley,판교역,60,474,신설동,서울2호선,47.816667,127.02491914432684,37.57478114111918,202201.2870755586,552804.2053266234
pangyo_1st_technovalley,판교역,60,753,선유도,서울9호선,47.816667,126.89345483013857,37.53804675795846,190583.47692812103,548732.1685555927
pangyo_1st_technovalley,판교역,60,431,영등포구청,서울2호선,47.883333,126.89664443529789,37.52579535365977,190863.88184866766,547372.0989389027
pangyo_1st_technovalley,판교역,60,368,방학,서울1호선,47.916667,127.04432090971817,37.667526880789865,203910.3237515755,563098.6242105485
pangyo_1st_technovalley,판교역,60,565,상계,서울4호선,47.916667,127.07338094410144,37.66077910400498,206474.8047723596,562351.296690535
pangyo_1st_technovalley,판교역,60,197,보라매,신림선,47.916667,126.920464142943,37.50043249354521,192967.0464877993,544555.0963279424
pangyo_1st_technovalley,판교역,60,777,둔촌오륜,서울9호선,48.05,127.13951062486169,37.518923227645246,212333.17832595712,546613.5044082915
pangyo_1st_technovalley,판교역,60,472,신답,서울2호선,48.083333,127.04706944994533,37.56984395489578,204158.2573144885,552256.9844651851
pangyo_1st_technovalley,판교역,60,173,시청_용인대,용인경전철,48.116667,127.1788868118724,37.239439764606566,215872.9531048151,515600.94886727055
pangyo_1st_technovalley,판교역,60,433,신도림,서울2호선,48.2,126.8914426985193,37.508512745116185,190401.86075412013,545454.4648912307
pangyo_1st_technovalley,판교역,60,203,서울대벤처타운,신림선,48.2,126.93366597352362,37.47230261081729,194132.21802447198,541432.1460386373
pangyo_1st_technovalley,판교역,60,607,천호,서울5호선,48.25,127.12396447570144,37.538500637421805,210955.98546222495,548784.4305445958
pangyo_1st_technovalley,판교역,60,599,행당,서울5호선,48.25,127.0294924302042,37.557350356449874,202605.88541614005,550869.7093999069
pangyo_1st_technovalley,판교역,60,96,이촌,경의중앙선,48.266667,126.97369624297455,37.52234409069938,197674.77182867282,546984.3576894928
